aX,aY,aZ
343.6,-15.6,921.3
-15.6,-31.2,921.3
-281.1,-124.9,1015.0
-468.5,46.8,1186.8
-62.5,-31.2,1171.2
124.9,171.8,1077.5
452.9,78.1,1030.7
359.2,93.7,827.6
156.2,-15.6,1140.0
-281.1,46.8,905.7
-390.4,-109.3,905.7
-218.6,-156.2,749.6
-46.8,0.0,827.6
327.9,-62.5,749.6
390.4,62.5,890.1
359.2,-124.9,937.0
-46.8,-15.6,1061.9
-281.1,-124.9,1015.0
-468.5,46.8,1186.8
-62.5,-46.8,1077.5
124.9,156.2,905.7
437.2,109.3,1046.3
390.4,15.6,843.3
156.2,-15.6,968.2
-265.5,-93.7,874.5
-374.8,-109.3,812.0
-109.3,-187.4,1015.0
-15.6,-15.6,1140.0
452.9,46.8,1077.5
406.0,124.9,1124.4
171.8,-78.1,1249.3
-265.5,78.1,1140.0
-281.1,-78.1,1030.7
-281.1,-15.6,812.0
-46.8,-78.1,796.4
327.9,-46.8,718.3
421.6,31.2,921.3
359.2,-124.9,874.5
15.6,-15.6,1061.9
-234.2,-140.5,890.1
-499.7,-15.6,1202.4
-62.5,-62.5,1093.1
62.5,140.5,968.2
437.2,46.8,1108.7
374.8,124.9,874.5
156.2,-31.2,1202.4
-281.1,-15.6,890.1
-359.2,-93.7,921.3
-140.5,-109.3,858.9
-31.2,15.6,765.2
390.4,-62.5,999.4
406.0,31.2,843.3
327.9,-124.9,921.3
15.6,62.5,1124.4
-234.2,-140.5,1358.6
-468.5,0.0,1249.3
-46.8,-78.1,1124.4
78.1,156.2,952.6
452.9,62.5,1093.1
374.8,140.5,968.2
124.9,-31.2,1186.8
-281.1,-31.2,858.9
-406.0,-93.7,858.9
-187.4,-156.2,780.8
-46.8,15.6,796.4
437.2,-62.5,1030.7
437.2,46.8,905.7
312.3,-124.9,1233.7
-218.6,46.8,1093.1
-234.2,-93.7,1280.5
-468.5,15.6,1171.2
-46.8,-62.5,858.9
296.7,93.7,999.4
421.6,78.1,858.9
406.0,46.8,858.9
124.9,-31.2,921.3
-265.5,-46.8,827.6
-390.4,-62.5,827.6
-140.5,-171.8,858.9
-15.6,15.6,843.3
437.2,-62.5,1030.7
452.9,62.5,1046.3
312.3,-62.5,1233.7
-203.0,62.5,1140.0
-265.5,-93.7,1249.3
-312.3,0.0,1140.0
-46.8,-46.8,905.7
312.3,78.1,921.3
421.6,78.1,780.8
390.4,15.6,827.6
124.9,-46.8,905.7
-281.1,-62.5,812.0
-390.4,-124.9,843.3
-124.9,-171.8,937.0
15.6,-31.2,1061.9
452.9,46.8,1030.7
406.0,62.5,983.8
296.7,-62.5,1233.7
-234.2,78.1,1124.4
-327.9,-93.7,1249.3
-249.9,15.6,1140.0
-62.5,-78.1,905.7
327.9,78.1,687.1
406.0,31.2,812.0
374.8,-15.6,843.3
140.5,-15.6,937.0
-312.3,-78.1,796.4
-406.0,-46.8,858.9
-124.9,-93.7,968.2
0.0,-31.2,1030.7
452.9,31.2,1061.9
406.0,78.1,952.6
281.1,-109.3,1296.1
-234.2,78.1,1124.4
-312.3,-109.3,1218.0
-281.1,-15.6,1093.1
-31.2,-93.7,843.3
312.3,78.1,687.1
437.2,62.5,749.6
343.6,15.6,874.5
124.9,-15.6,968.2
-281.1,-78.1,905.7
-499.7,-46.8,890.1
-109.3,-109.3,983.8
0.0,-15.6,1124.4
452.9,46.8,1108.7
374.8,109.3,1015.0
140.5,-62.5,1264.9
-265.5,62.5,1124.4
-296.7,-109.3,968.2
-265.5,-15.6,812.0
-46.8,-93.7,780.8
327.9,-62.5,780.8
421.6,62.5,780.8
359.2,0.0,827.6
109.3,0.0,952.6
-265.5,-93.7,843.3
-406.0,-46.8,983.8
-78.1,-203.0,999.4
0.0,-31.2,1030.7
452.9,-62.5,1093.1
406.0,109.3,999.4
249.9,-78.1,1264.9
-265.5,78.1,1108.7
-312.3,-109.3,1202.4
-234.2,-15.6,1046.3
-62.5,-93.7,749.6
296.7,46.8,765.2
437.2,62.5,749.6
327.9,-15.6,843.3
109.3,-31.2,937.0
-296.7,-124.9,952.6
-468.5,-46.8,921.3
-78.1,-31.2,1093.1
0.0,-15.6,1093.1
452.9,15.6,1061.9
374.8,124.9,1077.5
171.8,-46.8,1327.4
-249.9,46.8,1140.0
-312.3,-109.3,952.6
-234.2,-31.2,796.4
