aX,aY,aZ
187.4,-93.7,999.4
140.5,-93.7,1046.3
-124.9,-15.6,999.4
-124.9,-93.7,1030.7
-93.7,78.1,1061.9
15.6,78.1,999.4
234.2,-140.5,921.3
218.6,109.3,1046.3
-62.5,-156.2,983.8
-62.5,-109.3,1155.6
-124.9,218.6,874.5
0.0,-15.6,999.4
124.9,-62.5,827.6
187.4,15.6,937.0
203.0,-140.5,1030.7
-46.8,15.6,937.0
-218.6,46.8,968.2
-15.6,-46.8,1046.3
124.9,156.2,968.2
140.5,-156.2,890.1
140.5,-156.2,1046.3
0.0,46.8,1061.9
-187.4,-140.5,1061.9
-109.3,-109.3,983.8
124.9,109.3,952.6
171.8,-124.9,937.0
140.5,-140.5,1046.3
-78.1,78.1,999.4
-171.8,-93.7,1155.6
-109.3,31.2,827.6
46.8,46.8,1061.9
156.2,-78.1,952.6
187.4,156.2,1061.9
-124.9,-156.2,983.8
-62.5,-124.9,1124.4
-78.1,171.8,999.4
15.6,-62.5,983.8
78.1,-78.1,968.2
203.0,62.5,1171.2
187.4,-171.8,999.4
-78.1,62.5,921.3
-249.9,62.5,983.8
62.5,-93.7,1046.3
124.9,140.5,905.7
187.4,-171.8,983.8
156.2,-140.5,1077.5
-31.2,109.3,999.4
-234.2,-124.9,968.2
-109.3,0.0,1015.0
78.1,109.3,968.2
203.0,-78.1,968.2
187.4,-15.6,1061.9
-124.9,-124.9,999.4
-78.1,-124.9,1093.1
-78.1,140.5,952.6
-31.2,93.7,999.4
171.8,-109.3,874.5
203.0,140.5,999.4
-31.2,-156.2,952.6
-78.1,-62.5,1093.1
-156.2,234.2,905.7
31.2,-62.5,952.6
78.1,-15.6,874.5
156.2,-46.8,1015.0
171.8,-124.9,1015.0
-15.6,31.2,999.4
-265.5,-46.8,983.8
46.8,-93.7,952.6
124.9,124.9,921.3
203.0,-171.8,937.0
124.9,-156.2,1061.9
-15.6,-46.8,983.8
-218.6,-140.5,1140.0
-62.5,-46.8,937.0
109.3,78.1,874.5
187.4,-78.1,921.3
171.8,109.3,1030.7
-109.3,-78.1,968.2
